22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>,<NULL-object>] 4:43 z_doctor
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>,<NULL-object>] 4:45 z_hunter
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>] 4:47 z_villager1
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>,<NULL-object>] 4:49 z_hunter
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>] 4:51 z_villager2
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>] 4:30 z_hunter
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>] 4:35 z_soldier_pilot
22.07.2014 05:12:09: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 607.178 4:22 Survivor2_DZ
22.07.2014 05:12:11: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 609.189 4:22 Survivor2_DZ
22.07.2014 05:12:12: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:37 z_hunter
22.07.2014 05:12:13: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 611.286 4:22 Survivor2_DZ
22.07.2014 05:12:17: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587464 2:6284 hiluxWreck
22.07.2014 05:12:17: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:12:18: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:45 z_hunter
22.07.2014 05:12:20: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:49 z_hunter
22.07.2014 05:12:20: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:39 z_hunter
22.07.2014 05:12:20: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:47 z_villager1
22.07.2014 05:12:23: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:28 z_hunter
